City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
0,Atuona,PF,79.11,-9.8,-139.0333,Villa Enata
1,San Carlos Del Zulia,VE,80.11,9.0,-71.9135,Hotel El Manantial
5,Vaini,TO,87.96,-21.2,-175.2,Keleti Beach Resort
8,Cockburn Town,TC,77.88,21.4612,-71.1419,Osprey Beach Hotel
11,Rikitea,PF,78.44,-23.1203,-134.9692,People ThankYou
13,Nabire,ID,76.17,-3.3667,135.4833,Hotel Nusantara Nabire
18,Lorengau,PG,83.61,-2.0226,147.2712,Lorengau Harbourside Hotel
21,Mount Gambier,AU,76.87,-37.8333,140.7667,The Commodore
23,Kapaa,US,79.12,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Dhidhdhoo,MV,78.37,6.8833,73.1,Dhidhoo beach
25,Buchanan,LR,76.96,5.8808,-10.0467,Kamaneahn Hotel Inc
26,Beira,MZ,80.69,-19.8436,34.8389,Beira Terrace Hotel
31,Sainte-Rose,GP,77.18,16.3324,-61.6979,Villa - Duzer
33,Trinidad,BO,87.78,-14.8333,-64.9,Hotel Piesta
37,Alofi,NU,78.69,-19.0595,-169.9187,Taloa Heights
39,Carnarvon,AU,75.27,-24.8667,113.6333,Hospitality Carnarvon
41,Vanimo,PG,80.51,-2.6741,141.3028,Vahmoneh Lodge Vanimo
43,Carlsbad,US,75.49,33.1581,-117.3506,Carlsbad Inn Beach Resort
44,Aloleng,PH,77.95,16.1307,119.7824,Steve Walden and Emma Sison-Walden Residence
51,Ballina,AU,77.77,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
54,Arraial Do Cabo,BR,78.76,-22.9661,-42.0278,Pousada Porto Praia
57,Tautira,PF,86.0,-17.7333,-149.15,Pension Oaoa
61,Ixtapa,MX,76.23,20.7,-105.2,Hotel Plaza Providencia
63,Georgetown,MY,77.95,5.4112,100.3354,Cititel Penang
65,Puerto Ayora,EC,75.22,-0.7393,-90.3518,Finch Bay Galapagos Hotel
75,Vila Velha,BR,76.95,-20.3297,-40.2925,Quality Suites Vila Velha
81,Maceio,BR,81.84,-9.6658,-35.7353,Poutur Pousada
93,Avarua,CK,82.45,-21.2078,-159.775,Paradise Inn
95,Butaritari,KI,81.79,3.0707,172.7902,Isles Sunset Lodge
101,Kavieng,PG,83.82,-2.5744,150.7967,Nusa Island Retreat
103,Balabac,PH,79.63,7.9868,117.0645,Sing and Swing Lodge
109,Mareeba,AU,77.72,-17.0,145.4333,Trinity Plains Tourist Park
114,Soyo,AO,78.19,-6.1349,12.3689,Hotel Mpampa
115,Labuhan,ID,77.76,-6.8844,112.2051,DoubleFAG
117,Porto Belo,BR,82.38,-27.1578,-48.5531,Costa Verde Beach Hotel
119,Hithadhoo,MV,81.37,-0.6,73.0833,Scoop Guest House
121,Bathsheba,BB,75.81,13.2167,-59.5167,Atlantis Hotel
124,Dingle,PH,76.51,10.9995,122.6711,SEGAYA PROPERTY
126,Hilo,US,80.33,19.7297,-155.09,Hilo Hawaiian Hotel
127,Bengkulu,ID,76.19,-3.8004,102.2655,Grage Hotel Bengkulu
128,Santa Catalina,PH,79.09,9.3337,122.8637,BreakWater Beach Sta Catalina Negros Oriental
129,Byron Bay,AU,80.06,-28.65,153.6167,Backpackers Inn
130,Sinnamary,GF,75.61,5.3833,-52.95,ALETHEIA Appartement Sinnamary
131,Ciudad Bolivar,VE,84.67,8.1222,-63.5497,Hotel Edi
132,Nelson Bay,AU,79.11,-32.7167,152.15,Mantra Nelson Bay
143,Takoradi,GH,78.94,4.8845,-1.7554,Raybow International Hotel
144,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
146,Batatais,BR,75.18,-20.8911,-47.585,Castelo Palace Hotel
149,Pedernales,DO,76.78,18.0384,-71.744,Hotel Costa Marina
150,Marsh Harbour,BS,75.45,26.5412,-77.0636,Abaco Beach Resort
156,Isangel,VU,86.11,-19.55,169.2667,Tanna Lodge
