City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mount Isa,AU,2022-01-26 01:13:13,-20.7333,139.5,85.77,66,75,14.97
1,Barrow,US,2022-01-26 01:08:48,71.2906,-156.7887,-5.78,77,75,21.85
2,Hithadhoo,MV,2022-01-26 01:13:14,-0.6,73.0833,81.1,67,100,17.94
3,Leh,IN,2022-01-26 01:13:14,34.1667,77.5833,-5.6,88,100,3.89
4,Thompson,CA,2022-01-26 01:13:15,55.7435,-97.8558,-2.79,86,100,12.95
5,Whitehorse,CA,2022-01-26 01:13:15,60.7161,-135.0538,16.5,94,48,4.72
6,Punta Arenas,CL,2022-01-26 01:13:16,-53.15,-70.9167,46.51,57,0,14.97
7,Alofi,NU,2022-01-26 01:13:16,-19.0595,-169.9187,80.49,89,75,6.91
8,Fukue,JP,2022-01-26 01:13:17,32.6881,128.8419,49.84,66,4,17.27
9,Palmer,US,2022-01-26 01:11:01,42.1584,-72.3287,29.68,60,0,11.5
10,Hamilton,US,2022-01-26 01:13:17,39.1834,-84.5333,25.43,66,0,1.99
11,Ushuaia,AR,2022-01-26 01:13:18,-54.8,-68.3,42.46,75,75,27.63
12,Saint-Philippe,RE,2022-01-26 01:13:18,-21.3585,55.7679,74.79,69,95,12.44
13,Atuona,PF,2022-01-26 01:05:27,-9.8,-139.0333,78.31,74,3,17.47
14,Luderitz,NA,2022-01-26 01:13:19,-26.6481,15.1594,73.58,61,6,21.77
15,Souillac,MU,2022-01-26 01:13:19,-20.5167,57.5167,75.58,69,40,10.36
16,Lindi,TZ,2022-01-26 01:13:20,-10.0,39.7167,79.95,70,100,9.57
17,Jamestown,US,2022-01-26 01:11:39,42.097,-79.2353,18.72,85,100,5.75
18,Amapa,BR,2022-01-26 01:13:21,1.0,-52.0,71.06,99,37,2.06
19,Hobart,AU,2022-01-26 01:11:40,-42.8794,147.3294,67.01,74,75,8.05
20,Provideniya,RU,2022-01-26 01:13:21,64.3833,-173.3,-6.65,70,0,6.71
21,Caravelas,BR,2022-01-26 01:13:22,-17.7125,-39.2481,76.77,84,100,8.79
22,Qaanaaq,GL,2022-01-26 01:13:22,77.484,-69.3632,-10.7,57,10,7.54
23,Sterling,US,2022-01-26 01:08:43,39.0062,-77.4286,34.57,57,100,5.99
24,Port Dickson,MY,2022-01-26 01:13:23,2.5228,101.7959,77.22,81,35,4.65
25,Lima,PE,2022-01-26 01:13:12,-12.0432,-77.0282,73.65,75,40,14.97
26,Albany,US,2022-01-26 01:13:24,42.6001,-73.9662,24.28,73,11,8.05
27,Vaini,TO,2022-01-26 01:13:24,-21.2,-175.2,86.16,79,20,6.91
28,Dera Bugti,PK,2022-01-26 01:13:24,29.0307,69.151,49.8,25,0,4.32
29,Avarua,CK,2022-01-26 01:13:25,-21.2078,-159.775,80.65,78,75,2.3
30,Bredasdorp,ZA,2022-01-26 01:13:25,-34.5322,20.0403,66.27,87,100,9.62
31,Severo-Kurilsk,RU,2022-01-26 01:13:26,50.6789,156.125,26.38,55,45,5.75
32,Ponta Do Sol,PT,2022-01-26 01:10:46,32.6667,-17.1,61.43,55,24,8.08
33,Buluang,PH,2022-01-26 01:13:27,13.3068,123.3425,80.06,83,82,4.7
34,Cidreira,BR,2022-01-26 01:13:27,-30.1811,-50.2056,77.5,87,74,17.16
35,Georgetown,MY,2022-01-26 01:09:39,5.4112,100.3354,80.53,83,20,5.75
36,San Jose,US,2022-01-26 01:08:39,37.3394,-121.895,62.29,65,0,1.99
37,Hermanus,ZA,2022-01-26 01:02:12,-34.4187,19.2345,66.79,85,94,12.88
38,Port Lincoln,AU,2022-01-26 01:13:28,-34.7333,135.8667,75.65,73,62,1.12
39,Thunder Bay,CA,2022-01-26 01:13:28,48.4001,-89.3168,-6.45,63,10,5.37
40,Pasni,PK,2022-01-26 01:13:29,25.2631,63.471,65.05,27,0,11.63
41,Bluff,NZ,2022-01-26 01:05:28,-46.6,168.3333,55.8,78,99,16.06
42,Muleba,TZ,2022-01-26 01:13:29,-1.8397,31.6544,66.51,78,100,2.53
43,Poum,NC,2022-01-26 01:13:30,-20.2333,164.0167,80.69,72,13,9.6
44,Faanui,PF,2022-01-26 01:08:47,-16.4833,-151.75,80.74,77,77,13.47
45,Raseiniai,LT,2022-01-26 01:13:31,55.3736,23.1217,23.45,96,29,2.95
46,Rikitea,PF,2022-01-26 01:14:31,-23.1203,-134.9692,78.55,75,100,16.55
47,New Norfolk,AU,2022-01-26 01:14:32,-42.7826,147.0587,66.65,61,100,1.99
48,Maceio,BR,2022-01-26 01:14:32,-9.6658,-35.7353,80.04,89,40,3.44
49,Jeannette,US,2022-01-26 01:14:33,40.3281,-79.6153,20.05,67,0,0.0
50,Te Anau,NZ,2022-01-26 01:14:33,-45.4167,167.7167,56.5,83,95,3.31
51,Wanning,CN,2022-01-26 01:14:34,18.8003,110.3967,73.33,85,100,3.27
52,Upernavik,GL,2022-01-26 01:14:34,72.7868,-56.1549,1.51,94,98,8.7
53,Fayetteville,US,2022-01-26 01:13:15,35.0527,-78.8784,49.3,75,34,2.53
