City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,79.11,77,13,18.92,PF,2022-01-26 23:12:47
1,San Carlos Del Zulia,9.0,-71.9135,80.11,71,100,5.23,VE,2022-01-26 23:17:54
2,Novikovo,51.1537,37.8879,-1.5,100,91,2.24,RU,2022-01-26 23:17:54
3,Busselton,-33.65,115.3333,63.09,76,4,12.46,AU,2022-01-26 23:17:55
4,Bluff,-46.6,168.3333,57.79,59,84,11.34,NZ,2022-01-26 23:17:56
5,Vaini,-21.2,-175.2,87.96,74,20,6.91,TO,2022-01-26 23:17:56
6,Charyshskoye,51.3978,83.5598,12.58,89,100,5.39,RU,2022-01-26 23:17:57
7,Valle De Allende,26.9333,-105.4,68.67,9,8,3.36,MX,2022-01-26 23:17:57
8,Cockburn Town,21.4612,-71.1419,77.88,74,3,10.96,TC,2022-01-26 23:17:58
9,Castro,-24.7911,-50.0119,68.68,90,63,2.21,BR,2022-01-26 23:17:58
10,Cape Town,-33.9258,18.4232,69.35,78,0,1.99,ZA,2022-01-26 23:17:59
11,Rikitea,-23.1203,-134.9692,78.44,77,22,17.9,PF,2022-01-26 23:17:59
12,Canoinhas,-26.1772,-50.39,69.03,96,99,1.01,BR,2022-01-26 23:18:00
13,Nabire,-3.3667,135.4833,76.17,84,100,1.9,ID,2022-01-26 23:18:00
14,Hermanus,-34.4187,19.2345,65.8,81,91,11.92,ZA,2022-01-26 23:11:21
15,Jamestown,42.097,-79.2353,14.09,72,100,6.91,US,2022-01-26 23:18:01
16,Hay River,60.8156,-115.7999,12.18,79,75,4.61,CA,2022-01-26 23:18:02
17,Los Llanos De Aridane,28.6585,-17.9182,56.95,80,75,5.99,ES,2022-01-26 23:18:03
18,Lorengau,-2.0226,147.2712,83.61,77,100,6.76,PG,2022-01-26 23:18:03
19,Ushuaia,-54.8,-68.3,48.24,88,100,5.21,AR,2022-01-26 23:08:08
20,Birao,10.2849,22.7882,75.24,18,64,13.69,CF,2022-01-26 23:18:04
21,Mount Gambier,-37.8333,140.7667,76.87,73,9,5.23,AU,2022-01-26 23:18:04
22,Xingyi,24.1877,102.817,47.57,96,67,3.06,CN,2022-01-26 23:18:05
23,Kapaa,22.0752,-159.319,79.12,70,20,1.01,US,2022-01-26 23:09:09
24,Dhidhdhoo,6.8833,73.1,78.37,57,97,7.52,MV,2022-01-26 23:18:05
25,Buchanan,5.8808,-10.0467,76.96,84,8,5.23,LR,2022-01-26 23:18:06
26,Beira,-19.8436,34.8389,80.69,89,40,9.22,MZ,2022-01-26 23:18:06
27,Blagoyevo,63.3667,47.9167,4.8,100,99,3.31,RU,2022-01-26 23:18:07
28,Beringovskiy,63.05,179.3167,-1.93,97,100,5.14,RU,2022-01-26 23:18:07
29,Bonavista,48.6499,-53.1147,33.12,75,100,17.07,CA,2022-01-26 23:18:08
30,Shelburne,44.0787,-80.2041,12.09,84,54,8.37,CA,2022-01-26 23:15:30
31,Sainte-Rose,16.3324,-61.6979,77.18,73,0,4.61,GP,2022-01-26 23:18:08
32,Punta Arenas,-53.15,-70.9167,55.11,71,40,27.63,CL,2022-01-26 23:17:19
33,Trinidad,-14.8333,-64.9,87.78,70,75,4.61,BO,2022-01-26 23:18:09
34,Havre-Saint-Pierre,50.2334,-63.5986,0.19,59,0,6.91,CA,2022-01-26 23:18:09
35,Mahebourg,-20.4081,57.7,71.26,83,20,3.44,MU,2022-01-26 23:11:04
36,Komsomolskiy,40.4272,71.7189,31.42,74,0,6.91,UZ,2022-01-26 23:18:10
37,Alofi,-19.0595,-169.9187,78.69,89,40,10.36,NU,2022-01-26 23:18:11
38,Port Alfred,-33.5906,26.891,73.08,90,94,4.47,ZA,2022-01-26 23:18:11
39,Carnarvon,-24.8667,113.6333,75.27,78,100,18.41,AU,2022-01-26 23:18:12
40,Tuktoyaktuk,69.4541,-133.0374,-5.8,77,20,17.27,CA,2022-01-26 23:18:07
41,Vanimo,-2.6741,141.3028,80.51,86,100,1.99,PG,2022-01-26 23:18:12
